Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1995-11-03,,CHH,W,105,91,43,86,.500,4,11,.364,15,23,.652,15,42,29,10,3,13,27,,36,77,.468,3,11,.273,16,25,.640,14,43,14,8,4,19,22
2,2,1995-11-04,,BOS,W,107,85,43,88,.489,4,11,.364,17,25,.680,12,45,30,12,7,17,31,,29,71,.408,2,9,.222,25,43,.581,11,44,17,7,4,25,24
3,3,1995-11-07,,TOR,W,117,108,44,80,.550,7,14,.500,22,29,.759,8,32,28,13,3,14,26,,37,69,.536,4,13,.308,30,37,.811,7,32,25,6,3,19,26
4,4,1995-11-09,@,CLE,W,106,88,41,79,.519,9,15,.600,15,19,.789,12,43,32,5,5,18,21,,34,82,.415,1,11,.091,19,23,.826,9,34,27,9,1,9,18
5,5,1995-11-11,,POR,W,110,106,40,81,.494,6,21,.286,24,30,.800,11,34,24,6,4,9,25,,39,77,.506,10,16,.625,18,30,.600,15,40,23,4,1,17,25
6,6,1995-11-14,@,ORL,L,88,94,35,89,.393,8,21,.381,10,19,.526,19,44,24,8,2,19,32,,30,65,.462,9,20,.450,25,34,.735,7,38,13,9,8,24,23
7,7,1995-11-15,,CLE,W,113,94,43,77,.558,8,12,.667,19,25,.760,13,35,30,10,3,14,20,,35,70,.500,10,18,.556,14,21,.667,11,33,22,9,2,21,25
8,8,1995-11-17,,NJN,W,109,94,45,87,.517,4,10,.400,15,17,.882,13,37,31,11,5,18,23,,34,76,.447,1,7,.143,25,32,.781,11,35,20,10,5,20,22
9,9,1995-11-21,@,DAL,W,108,102,42,93,.452,3,12,.250,21,26,.808,12,50,16,6,14,13,25,,37,108,.343,6,20,.300,22,31,.710,32,66,22,8,5,15,25
10,10,1995-11-22,@,SAS,W,103,94,41,92,.446,1,8,.125,20,28,.714,17,51,23,8,1,12,34,,32,77,.416,3,11,.273,27,39,.692,11,42,20,8,10,16,22
