Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,42:38,16,30,.533,4,8,.500,5,8,.625,4,12,16,7,3,3,2,1,41,+13
Tristan Thompson\thomptr01,41:32,1,3,.333,0,0,,4,10,.400,3,12,15,0,1,2,0,1,6,+11
Kyrie Irving\irvinky01,39:47,17,24,.708,5,7,.714,2,2,1.000,0,3,3,6,2,1,4,4,41,+20
Kevin Love\loveke01,32:53,1,5,.200,0,3,.000,0,0,,0,3,3,1,0,1,2,4,2,+18
J.R. Smith\smithjr01,30:43,3,9,.333,1,2,.500,3,3,1.000,1,1,2,1,1,0,1,5,10,+11
Iman Shumpert\shumpim01,25:41,2,4,.500,0,1,.000,0,0,,0,1,1,0,1,2,1,0,4,+6
Richard Jefferson\jefferi01,14:18,4,6,.667,0,1,.000,0,0,,0,1,1,0,3,0,3,1,8,+7
Matthew Dellavedova\dellama01,3:28,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,2,3,0,-5
Mo Williams\willima01,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3
Dahntay Jones\jonesda02,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Timofey Mozgov\mozgoti01,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
James Jones\jonesja02,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Channing Frye\fryech01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,83,.530,10,24,.417,14,23,.609,8,33,41,15,11,9,16,22,112,
