Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1995-11-03,@,POR,W,92,80,33,75,.440,1,5,.200,25,33,.758,10,39,14,12,5,18,28,,29,81,.358,5,22,.227,17,30,.567,23,51,20,11,3,26,25
2,2,1995-11-05,,MIN,W,100,98,36,79,.456,3,10,.300,25,40,.625,19,53,21,10,7,19,24,,37,93,.398,4,15,.267,20,27,.741,18,46,23,7,3,16,33
3,3,1995-11-07,@,DAL,L,88,99,33,77,.429,2,11,.182,20,27,.741,9,35,18,10,5,14,15,,41,92,.446,3,10,.300,14,14,1.000,21,58,24,10,3,17,20
4,4,1995-11-08,@,SAS,L,62,111,22,78,.282,0,6,.000,18,26,.692,18,47,8,4,3,23,26,,39,79,.494,7,17,.412,26,33,.788,10,44,30,10,11,14,18
5,5,1995-11-10,,LAC,L,91,98,29,61,.475,3,7,.429,30,35,.857,6,29,22,14,7,23,28,,36,81,.444,3,12,.250,23,34,.676,19,40,28,11,7,22,28
6,6,1995-11-11,@,SEA,L,81,117,32,86,.372,0,8,.000,17,27,.630,18,42,9,6,3,14,26,,43,80,.538,8,17,.471,23,33,.697,10,49,26,8,5,11,18
7,7,1995-11-13,,DAL,L,89,94,38,91,.418,4,13,.308,9,15,.600,16,45,25,8,8,10,26,,26,94,.277,9,19,.474,33,38,.868,31,65,15,5,5,11,19
8,8,1995-11-16,@,LAC,L,98,103,38,73,.521,5,17,.294,17,29,.586,7,30,11,11,2,15,26,,39,82,.476,5,16,.313,20,31,.645,18,49,14,10,2,16,24
9,9,1995-11-17,,LAL,L,91,114,31,72,.431,2,10,.200,27,36,.750,14,37,17,4,2,17,23,,43,87,.494,6,17,.353,22,31,.710,15,38,28,11,6,11,25
10,10,1995-11-19,@,NYK,L,93,98,34,74,.459,5,13,.385,20,26,.769,13,37,19,9,4,14,17,,40,78,.513,4,15,.267,14,17,.824,10,36,17,8,3,13,16
11,11,1995-11-22,@,ORL,L,93,95,36,78,.462,4,8,.500,17,25,.680,12,41,24,4,5,11,22,,33,81,.407,2,11,.182,27,37,.730,16,43,23,6,9,11,21
