Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Draymond Green\greendr01,42:14,2,9,.222,0,4,.000,5,8,.625,1,11,12,4,2,3,3,4,9,+14
Harrison Barnes\barneha02,40:10,5,11,.455,4,5,.800,0,0,,3,5,8,2,1,0,0,1,14,+6
Stephen Curry\curryst01,39:39,11,25,.440,7,13,.538,9,10,.900,3,2,5,6,2,0,3,3,38,+10
Klay Thompson\thompkl01,39:23,7,14,.500,4,9,.444,7,7,1.000,0,4,4,1,1,1,1,2,25,+10
Andrew Bogut\bogutan01,10:01,0,0,,0,0,,0,0,,1,0,1,1,0,1,0,1,0,0
Andre Iguodala\iguodan01,37:08,4,12,.333,2,5,.400,0,0,,2,4,6,7,1,1,1,3,10,+15
Shaun Livingston\livinsh01,18:34,3,8,.375,0,0,,2,2,1.000,1,2,3,1,0,0,0,3,8,+2
James Michael McAdoo\mcadoja01,7:24,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,2,2,+3
Anderson Varejao\varejan01,4:02,0,1,.000,0,0,,2,2,1.000,3,0,3,0,0,0,0,2,2,-1
Festus Ezeli\ezelife01,1:19,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-4
Marreese Speights\speigma01,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Ian Clark\clarkia01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leandro Barbosa\barbole01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,81,.407,17,36,.472,25,31,.806,14,29,43,23,7,6,8,22,108,
