Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,1986-11-01,@,HOU,L,102,112,38,80,.475,2,4,.500,24,29,.828,16,44,29,5,1,20,24,,45,88,.511,1,5,.200,21,34,.618,13,35,27,7,6,11,22
2,2,1986-11-04,@,SEA,W,110,96,37,75,.493,2,3,.667,34,42,.810,13,45,22,15,3,25,22,,37,94,.394,2,4,.500,20,25,.800,19,44,24,12,4,19,26
3,3,1986-11-07,,DEN,W,138,116,53,95,.558,2,4,.500,30,40,.750,14,50,40,9,10,14,23,,45,91,.495,3,5,.600,23,28,.821,5,33,33,5,1,19,25
4,4,1986-11-09,,NYK,W,111,88,46,92,.500,1,2,.500,18,21,.857,9,42,36,18,5,15,19,,34,82,.415,0,1,.000,20,23,.870,8,39,20,8,7,22,22
5,5,1986-11-12,,SEA,W,122,97,43,91,.473,2,5,.400,34,44,.773,16,50,26,12,7,14,24,,41,98,.418,1,6,.167,14,24,.583,23,51,21,7,8,21,29
6,6,1986-11-16,,SAC,W,113,111,43,87,.494,3,8,.375,24,33,.727,12,40,35,12,10,16,27,,46,89,.517,0,2,.000,19,26,.731,14,46,31,8,4,18,27
7,7,1986-11-18,@,DAL,W,114,110,42,82,.512,3,3,1.000,27,33,.818,13,41,22,7,2,19,17,,50,97,.515,2,7,.286,8,11,.727,14,40,29,13,5,14,23
8,8,1986-11-19,@,SAS,W,117,108,47,90,.522,5,6,.833,18,27,.667,14,49,31,9,3,22,24,,41,90,.456,3,6,.500,23,30,.767,11,39,26,13,7,14,22
9,9,1986-11-21,,NJN,W,111,95,49,98,.500,2,6,.333,11,16,.688,12,52,39,10,10,13,24,,38,91,.418,1,2,.500,18,30,.600,12,42,28,5,4,18,15
10,10,1986-11-23,,MIL,W,127,117,47,79,.595,3,6,.500,30,36,.833,10,36,36,10,1,14,25,,47,92,.511,6,11,.545,17,23,.739,17,37,24,8,2,20,29
11,11,1986-11-25,,ATL,L,107,113,41,91,.451,1,9,.111,24,29,.828,13,35,33,10,3,13,32,,37,80,.463,2,4,.500,37,44,.841,18,52,16,7,4,22,28
12,12,1986-11-26,@,LAC,W,126,92,51,84,.607,1,2,.500,23,33,.697,11,46,36,16,5,20,31,,34,84,.405,2,4,.500,22,34,.647,17,40,19,10,5,24,29
13,13,1986-11-28,,CHI,W,110,103,40,86,.465,2,4,.500,28,33,.848,10,39,21,8,6,14,21,,45,101,.446,0,3,.000,13,22,.591,26,56,20,4,2,20,32
14,14,1986-11-30,,LAC,W,137,115,55,89,.618,1,1,1.000,26,33,.788,15,52,44,13,8,27,24,,46,109,.422,0,2,.000,23,29,.793,23,46,27,12,4,18,22
15,15,1986-12-04,@,GSW,L,106,116,39,82,.476,3,8,.375,25,37,.676,15,46,20,9,5,21,19,,49,91,.538,1,5,.200,17,23,.739,11,40,33,13,4,13,27
16,16,1986-12-05,,DAL,W,112,104,42,86,.488,4,9,.444,24,32,.750,15,47,31,6,9,20,22,,39,94,.415,2,9,.222,24,29,.828,18,44,24,14,5,17,24
17,17,1986-12-07,,GSW,W,132,100,51,97,.526,7,10,.700,23,29,.793,16,45,37,18,7,15,19,,39,92,.424,0,4,.000,22,26,.846,20,46,18,7,3,22,24
18,18,1986-12-09,@,NYK,W,113,87,45,85,.529,1,3,.333,22,29,.759,15,49,28,14,3,17,23,,34,85,.400,0,5,.000,19,29,.655,17,40,16,13,2,19,26
19,19,1986-12-10,@,MIL,L,93,116,38,80,.475,4,8,.500,13,22,.591,12,33,25,11,5,23,26,,43,88,.489,4,10,.400,26,30,.867,20,47,26,13,3,16,25
20,20,1986-12-12,@,BOS,W,117,110,51,99,.515,2,7,.286,13,18,.722,10,38,22,5,2,6,11,,48,84,.571,1,4,.250,13,15,.867,5,32,29,3,9,14,12
21,21,1986-12-13,@,DET,L,114,119,46,104,.442,1,9,.111,21,23,.913,15,46,23,7,3,9,18,,53,94,.564,1,1,1.000,12,20,.600,11,52,33,6,7,18,22
22,22,1986-12-16,@,CLE,W,121,116,50,91,.549,1,5,.200,20,28,.714,13,45,26,11,5,14,22,,47,88,.534,3,8,.375,19,30,.633,12,40,27,9,7,13,20
23,23,1986-12-18,,POR,W,131,115,54,95,.568,1,7,.143,22,29,.759,11,43,41,12,8,16,24,,43,95,.453,2,7,.286,27,33,.818,15,43,24,7,2,24,23
24,24,1986-12-20,@,DAL,L,119,130,42,87,.483,1,10,.100,34,41,.829,14,49,21,6,9,18,28,,46,90,.511,1,6,.167,37,43,.860,11,40,25,12,2,12,25
