Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2006-11-02,@,DAL,W,97,91,34,69,.493,4,11,.364,25,37,.676,7,39,20,6,5,12,16,,38,88,.432,5,16,.313,10,16,.625,13,39,15,5,7,11,28
2,2,2006-11-03,,CLE,L,81,88,29,69,.420,5,15,.333,18,34,.529,5,40,16,2,2,12,24,,33,74,.446,4,9,.444,18,30,.600,8,49,16,6,5,11,29
3,3,2006-11-05,@,TOR,W,103,94,39,78,.500,7,19,.368,18,25,.720,9,41,21,5,2,14,22,,32,76,.421,5,13,.385,25,30,.833,10,39,11,8,1,14,20
4,4,2006-11-06,@,NYK,W,105,93,36,75,.480,13,23,.565,20,24,.833,4,39,25,7,4,15,28,,32,72,.444,3,11,.273,26,38,.684,8,41,12,5,1,16,25
5,5,2006-11-08,,PHO,W,111,106,42,100,.420,5,14,.357,22,25,.880,15,51,26,6,3,12,19,,46,93,.495,10,23,.435,4,6,.667,8,49,27,2,3,16,27
6,6,2006-11-11,,NYK,W,100,92,37,73,.507,5,17,.294,21,38,.553,10,46,21,6,6,19,23,,36,79,.456,2,10,.200,18,24,.750,6,38,11,11,0,15,34
7,7,2006-11-14,@,HOU,W,92,84,36,74,.486,7,13,.538,13,17,.765,8,51,17,3,6,15,18,,32,84,.381,10,23,.435,10,18,.556,11,36,16,10,4,9,13
8,8,2006-11-15,,CHA,L,92,95,36,96,.375,2,17,.118,18,22,.818,24,63,21,5,6,18,19,,40,92,.435,4,9,.444,11,19,.579,10,41,17,12,6,12,28
9,9,2006-11-17,,CHI,W,100,83,37,72,.514,11,25,.440,15,19,.789,7,40,30,13,7,23,19,,33,72,.458,5,9,.556,12,21,.571,9,39,18,9,4,22,18
10,10,2006-11-19,@,SAC,W,108,99,38,86,.442,8,23,.348,24,28,.857,13,40,22,4,2,9,24,,34,73,.466,4,11,.364,27,32,.844,7,38,10,4,4,12,26
11,11,2006-11-20,@,POR,W,107,98,38,71,.535,7,20,.350,24,29,.828,6,25,19,8,7,11,16,,38,76,.500,4,14,.286,18,20,.900,11,35,18,6,4,18,22
12,12,2006-11-22,,MIA,W,106,86,41,83,.494,9,20,.450,15,19,.789,10,43,22,8,7,16,22,,33,74,.446,3,9,.333,17,24,.708,6,34,15,6,5,15,21
13,13,2006-11-24,,DAL,L,92,95,36,73,.493,3,12,.250,17,25,.680,10,35,16,6,2,18,17,,38,76,.500,7,16,.438,12,15,.800,9,41,23,10,2,19,24
14,14,2006-11-26,@,SEA,W,98,78,41,78,.526,7,15,.467,9,11,.818,13,48,25,6,1,17,12,,33,86,.384,1,10,.100,11,16,.688,16,34,17,11,4,10,13
15,15,2006-11-27,@,GSW,L,102,111,36,87,.414,6,16,.375,24,26,.923,13,40,21,7,10,13,14,,41,83,.494,9,17,.529,20,24,.833,8,36,27,10,11,12,18
16,16,2006-11-29,@,UTA,L,75,83,29,73,.397,8,24,.333,9,14,.643,7,34,16,4,5,10,22,,30,73,.411,5,11,.455,18,27,.667,16,50,20,6,7,11,14
17,17,2006-12-02,,SAC,W,100,98,35,74,.473,11,22,.500,19,31,.613,10,39,22,9,5,18,20,,39,79,.494,2,12,.167,18,24,.750,7,40,19,11,4,15,23
18,18,2006-12-04,,GSW,W,129,89,49,94,.521,13,23,.565,18,19,.947,11,51,37,5,5,12,18,,37,91,.407,4,16,.250,11,16,.688,7,34,20,5,5,10,17
19,19,2006-12-06,@,CHA,W,96,76,36,78,.462,5,15,.333,19,21,.905,10,35,24,5,5,11,18,,29,71,.408,3,11,.273,15,21,.714,11,37,16,7,7,15,19
20,20,2006-12-08,,LAC,W,111,82,45,85,.529,10,24,.417,11,16,.688,8,44,31,7,4,6,13,,36,81,.444,2,4,.500,8,16,.500,9,35,17,4,4,10,18
