Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2014-10-29,@,SAC,W,95,77,33,75,.440,6,27,.222,23,32,.719,7,44,21,12,8,22,32,,24,78,.308,3,18,.167,26,35,.743,15,50,13,11,3,26,26
2,2,2014-11-01,,LAL,W,127,104,46,83,.554,11,23,.478,24,28,.857,12,43,30,10,4,20,26,,41,88,.466,4,14,.286,18,25,.720,17,37,21,9,3,22,27
3,3,2014-11-02,@,POR,W,95,90,36,81,.444,6,19,.316,17,21,.810,7,41,22,11,7,17,16,,37,92,.402,7,27,.259,9,14,.643,17,56,20,9,2,19,19
4,4,2014-11-05,,LAC,W,121,104,43,74,.581,15,25,.600,20,20,1.000,4,39,29,7,3,23,22,,38,82,.463,7,19,.368,21,27,.778,5,30,26,12,2,14,14
5,5,2014-11-08,@,HOU,W,98,87,39,87,.448,9,28,.321,11,17,.647,15,54,22,11,8,26,19,,30,86,.349,10,42,.238,17,21,.810,16,46,13,14,0,22,17
6,6,2014-11-09,@,PHO,L,95,107,33,69,.478,11,24,.458,18,21,.857,3,36,16,9,7,26,26,,34,79,.430,12,30,.400,27,33,.818,9,39,17,9,2,21,19
7,7,2014-11-11,,SAS,L,100,113,38,70,.543,7,20,.350,17,20,.850,1,38,23,5,4,19,16,,46,93,.495,10,25,.400,11,15,.733,8,36,28,9,1,8,19
8,8,2014-11-13,,BRK,W,107,99,41,90,.456,11,34,.324,14,21,.667,14,45,30,7,10,10,16,,39,89,.438,3,16,.188,18,20,.900,7,41,19,5,2,12,22
9,9,2014-11-15,,CHO,W,112,87,45,87,.517,11,26,.423,11,14,.786,11,51,30,7,3,14,25,,32,84,.381,7,17,.412,16,28,.571,10,41,14,5,2,12,13
10,10,2014-11-16,@,LAL,W,136,115,46,86,.535,14,28,.500,30,34,.882,11,51,32,4,5,16,26,,39,99,.394,3,16,.188,34,43,.791,20,48,17,9,4,7,27
11,11,2014-11-21,,UTA,W,101,88,41,82,.500,6,23,.261,13,19,.684,6,40,28,10,5,13,18,,35,82,.427,6,17,.353,12,19,.632,14,45,26,12,5,19,16
12,12,2014-11-23,@,OKC,W,91,86,33,93,.355,7,25,.280,18,24,.750,13,52,26,7,8,9,18,,32,90,.356,3,17,.176,19,27,.704,13,57,13,3,12,11,23
13,13,2014-11-25,@,MIA,W,114,97,43,75,.573,13,28,.464,15,23,.652,5,45,21,6,9,11,24,,33,85,.388,10,23,.435,21,27,.778,12,40,16,7,4,9,22
14,14,2014-11-26,@,ORL,W,111,96,44,85,.518,12,26,.462,11,19,.579,8,47,30,7,6,15,19,,36,87,.414,6,20,.300,18,24,.750,12,46,21,8,1,14,18
15,15,2014-11-28,@,CHO,W,106,101,42,99,.424,7,26,.269,15,16,.938,16,46,28,7,8,12,26,,38,87,.437,6,19,.316,19,23,.826,8,44,27,4,8,13,14
16,16,2014-11-30,@,DET,W,104,93,37,79,.468,9,21,.429,21,27,.778,9,49,24,5,8,16,19,,33,91,.363,11,23,.478,16,24,.667,15,44,25,11,5,13,20
17,17,2014-12-02,,ORL,W,98,97,38,82,.463,8,27,.296,14,18,.778,13,49,25,8,5,15,15,,39,87,.448,6,17,.353,13,14,.929,8,40,19,11,3,11,17
18,18,2014-12-04,,NOP,W,112,85,47,100,.470,10,22,.455,8,17,.471,18,56,31,11,8,9,8,,37,89,.416,3,15,.200,8,13,.615,10,47,23,8,4,17,15
19,19,2014-12-06,@,CHI,W,112,102,40,89,.449,12,30,.400,20,25,.800,15,40,27,14,6,11,21,,36,83,.434,7,21,.333,23,27,.852,17,50,24,6,3,22,23
20,20,2014-12-08,@,MIN,W,102,86,42,91,.462,5,22,.227,13,14,.929,15,51,24,15,6,17,18,,32,88,.364,2,11,.182,20,29,.690,18,49,22,12,4,19,10
21,21,2014-12-10,,HOU,W,105,93,40,81,.494,8,23,.348,17,20,.850,6,43,21,9,5,15,16,,37,90,.411,9,35,.257,10,15,.667,12,44,15,9,2,15,17
22,22,2014-12-13,@,DAL,W,105,98,37,83,.446,10,32,.313,21,27,.778,9,45,21,7,7,13,24,,36,89,.404,5,25,.200,21,30,.700,17,53,14,11,0,15,23
23,23,2014-12-14,@,NOP,W,128,122,44,86,.512,11,24,.458,29,35,.829,8,46,22,7,9,19,19,,47,101,.465,8,27,.296,20,25,.800,12,44,22,14,6,13,27
24,24,2014-12-16,@,MEM,L,98,105,39,95,.411,9,31,.290,11,12,.917,15,49,18,9,11,14,19,,42,92,.457,5,14,.357,16,19,.842,10,48,24,9,4,12,16
